LGA Name,Tenure type,Very low income <$603 per wk,Low income $603-$964 per wk,Moderate income $965-$1446 per wk,Total
Maralinga Tjarutja (AC),Rented: Other landlord,0,0,0,0
Maralinga Tjarutja (AC),Rented: TOTAL,0,0,0,0
Maralinga Tjarutja (AC),Other tenure types,0,0,0,15
Maralinga Tjarutja (AC),Total households,0,0,0,15
Marion (C),Being purchased (incl rent/buy),753,970,1725,12754
Marion (C),Rented: Public,1710,457,192,2744
Marion (C),Rented: Private and not stated,1228,1166,1339,7101
Marion (C),Rented: Other landlord,381,118,65,705
Marion (C),Rented: TOTAL,3319,1741,1596,10550
Marion (C),Other tenure types,3394,2512,1795,11976
Marion (C),Total households,7464,5229,5111,35275
Mid Murray (DC),Being purchased (incl rent/buy),195,178,200,1122
Mid Murray (DC),Rented: Public,27,16,0,69
Mid Murray (DC),Rented: Private and not stated,200,76,65,477
Mid Murray (DC),Rented: Other landlord,20,16,9,61
Mid Murray (DC),Rented: TOTAL,247,108,74,607
Mid Murray (DC),Other tenure types,619,456,207,1772
Mid Murray (DC),Total households,1061,729,492,3506
Mitcham (C),Being purchased (incl rent/buy),433,463,857,9383
Mitcham (C),Rented: Public,141,35,9,203
Mitcham (C),Rented: Private and not stated,753,580,677,3676
Mitcham (C),Rented: Other landlord,156,55,36,316
Mitcham (C),Rented: TOTAL,1050,670,722,4195
Mitcham (C),Other tenure types,2288,1692,1570,10232
Mitcham (C),Total households,3768,2817,3152,23807
Mount Barker (DC),Being purchased (incl rent/buy),305,426,738,5428
Mount Barker (DC),Rented: Public,194,52,24,342
Mount Barker (DC),Rented: Private and not stated,406,404,390,2170
Mount Barker (DC),Rented: Other landlord,91,29,14,208
Mount Barker (DC),Rented: TOTAL,691,485,428,2720
Mount Barker (DC),Other tenure types,927,750,587,3865
Mount Barker (DC),Total households,1919,1661,1754,12013
Mount Gambier (C),Being purchased (incl rent/buy),259,387,578,3481
Mount Gambier (C),Rented: Public,481,158,90,878
Mount Gambier (C),Rented: Private and not stated,730,490,429,2378
Mount Gambier (C),Rented: Other landlord,92,36,17,202
Mount Gambier (C),Rented: TOTAL,1303,684,536,3458
Mount Gambier (C),Other tenure types,1059,733,438,3384
Mount Gambier (C),Total households,2618,1802,1546,10321
Mount Remarkable (DC),Being purchased (incl rent/buy),55,33,42,300
Mount Remarkable (DC),Rented: Public,3,0,0,13
Mount Remarkable (DC),Rented: Private and not stated,39,21,14,109
Mount Remarkable (DC),Rented: Other landlord,12,3,0,22
Mount Remarkable (DC),Rented: TOTAL,54,24,14,144
Mount Remarkable (DC),Other tenure types,207,153,96,708
Mount Remarkable (DC),Total households,319,204,151,1153
Murray Bridge (RC),Being purchased (incl rent/buy),253,335,411,2412
Murray Bridge (RC),Rented: Public,306,101,49,557
Murray Bridge (RC),Rented: Private and not stated,526,390,337,1886
Murray Bridge (RC),Rented: Other landlord,58,29,20,161
Murray Bridge (RC),Rented: TOTAL,890,520,406,2604
Murray Bridge (RC),Other tenure types,903,701,383,2912
Murray Bridge (RC),Total households,2053,1549,1201,7935
Naracoorte and Lucindale (DC),Being purchased (incl rent/buy),79,128,184,1009
Naracoorte and Lucindale (DC),Rented: Public,53,25,5,94
Naracoorte and Lucindale (DC),Rented: Private and not stated,146,126,77,592
Naracoorte and Lucindale (DC),Rented: Other landlord,20,11,23,95
Naracoorte and Lucindale (DC),Rented: TOTAL,219,162,105,781
Naracoorte and Lucindale (DC),Other tenure types,340,254,203,1354
Naracoorte and Lucindale (DC),Total households,629,533,499,3143
