SUBURB,Suburb,Latitude,Longitude,Distance_to_Beach,Price,Land_Area
Girrawheen,Girrawheen,-31.840998914431818,115.83951430681819,8328.0,318077.2727272727,1304.25
Glen Forrest,Glen Forrest,-31.9106297302459,116.10409884590165,10980.0,643776.2295081967,4186.401639344263
Glendalough,Glendalough,-31.919427154166666,115.81986510416668,5336.0,454541.6666666667,5171.541666666667
Gnangara,Gnangara,-31.778504827032965,115.85657811208792,11651.0,788211.5384615385,13257.197802197803
Golden Bay,Golden Bay,-32.426055815714285,115.76009130285715,1077.0,408950.0,842.1428571428571
Gooseberry Hill,Gooseberry Hill,-31.95357721992308,116.04674886307693,8998.0,861057.6923076923,3129.0615384615385
Gosnells,Gosnells,-32.08023839382716,115.99045397407406,2980.0,301024.6913580247,709.5679012345679
Greenmount,Greenmount,-31.89786195330827,116.05021490676691,5695.0,511276.3157894737,1405.9248120300751
Greenwood,Greenwood,-31.827727506548673,115.8043611221239,5293.0,515057.5221238938,727.4159292035398
Guildford,Guildford,-31.898735663892616,115.97523892348994,1453.0,758922.8187919463,751.2214765100671
Gwelup,Gwelup,-31.87009642793296,115.79619843854748,4137.0,860516.7597765363,541.2625698324023
Hamersley,Hamersley,-31.850250267881353,115.81147422203391,5648.0,562576.7372881356,738.7457627118644
Hamilton Hill,Hamilton Hill,-32.08332180692308,115.78334968076923,2673.0,500102.5641025641,780.0769230769231
Hammond Park,Hammond Park,-32.1650837465,115.848547927,7186.0,532202.3,745.27
Harrisdale,Harrisdale,-32.12072124859154,115.93006552957746,5914.0,549923.3169014085,507.90140845070425
Haynes,Haynes,-32.15854095964912,115.98846069122807,5040.0,261135.9649122807,2425.9824561403507
Hazelmere,Hazelmere,-31.903230316962027,115.99330523164556,1716.0,480822.7848101266,4117.772151898735
Heathridge,Heathridge,-31.7630048344,115.75816824719999,2707.0,462240.4,695.016
Helena Valley,Helena Valley,-31.916088259813662,116.03347865962733,5099.0,607236.0248447205,1774.7080745341616
Henley Brook,Henley Brook,-31.800542107227724,115.97719432376239,9670.0,609600.9752475248,4097.297029702971
Herne Hill,Herne Hill,-31.828524014910716,116.02918368214286,7402.0,599974.1071428572,16900.25
High Wycombe,High Wycombe,-31.939136074203823,116.00540898471338,5846.0,434579.6178343949,686.5859872611464
Highgate,Highgate,-31.940179821351354,115.87075834054055,1643.0,795231.2162162162,864.1081081081081
Hilbert,Hilbert,-32.173239385,115.98647525263158,6679.0,485605.2631578947,1282.1052631578948
Hillarys,Hillarys,-31.80790077151079,115.7439359733813,1225.0,931422.3021582734,674.6618705035971
Hillman,Hillman,-32.28354384520231,115.76431414508671,2874.0,302493.6416184971,732.1734104046243
Hilton,Hilton,-32.06800965775281,115.78571978539325,2045.0,551791.6067415731,618.9213483146067
Hocking,Hocking,-31.770291743480662,115.8188468441989,8199.0,502000.0,602.4198895027624
Hope Valley,Hope Valley,-32.185508725,115.8222867,4406.0,450416.6666666667,18442.5
Hopeland,Hopeland,-32.37956717833333,115.88518595,13518.0,690138.8888888889,170973.33333333334
Hovea,Hovea,-31.8872512668,116.113513987,11555.0,578225.0,19098.48
Huntingdale,Huntingdale,-32.08181729413043,115.96414846195653,4303.0,400694.23913043475,642.5815217391304
Iluka,Iluka,-31.7355679375,115.73000709326924,1017.0,893258.1730769231,648.5769230769231
Inglewood,Inglewood,-31.91831578238938,115.88475697876106,3735.0,816596.4601769912,536.7256637168142
Innaloo,Innaloo,-31.891030463448274,115.79427612586207,3689.0,553670.4827586206,364.9310344827586
Jandabup,Jandabup,-31.74448475384615,115.84669127692308,9988.0,594807.6923076923,28412.5
Jandakot,Jandakot,-32.10324599881988,115.85559082236026,6847.0,728764.7888198758,1931.472049689441
Jane Brook,Jane Brook,-31.863077686934673,116.05166467236182,6290.0,507041.2110552764,689.8140703517588
Jarrahdale,Jarrahdale,-32.33773296948276,116.05452032413794,25583.0,543307.7586206896,6955.456896551724
Jindalee,Jindalee,-31.64600499470588,115.6912730019608,881.0,615225.4901960784,509.9901960784314
Jolimont,Jolimont,-31.9460320647541,115.80991543278688,4049.0,1051971.31147541,834.983606557377
Joondalup,Joondalup,-31.73017694038835,115.76544502135921,4228.0,518152.52427184465,732.5339805825242
